Job Title,Company,Location,Salary,Requirements,Years of Experience,Tags,Link
Data Science Engineer,EOK Technologies Info Systems Pvt. Ltd.    ,"Temp. WFH - Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed,Should have a Bachelor / Masters degree in Computer Science or Engineering or Statistic...,3-8 Yrs,_R_Machine Learning_Python_IT Skills_Java_Testing_Data Science_Cloud,https://www.naukri.com/job-listings-data-science-engineer-eok-technologies-info-systems-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-3-to-8-years-091122909198
Senior Quant Researcher - Data Science,Squarepoint Technologies India,remote,Not disclosed,Research statistical techniques such as Machine Learning and NLP to extract value from ...,1-4 Yrs,_Data analysis_Financial markets_data science_Machine learning_Programming_Mathematics_Investment management_Python,https://www.naukri.com/job-listings-senior-quant-researcher-data-science-squarepoint-technologies-india-private-limited-remote-1-to-4-years-071122503093
Senior Data Science Manager,Inspire Analytics,Temp. WFH - Chennai,"30,00,000 - 40,00,000 PA.","Work from home is flexible but individuals must be eligible to work in Chennai, India w...",5-7 Yrs,_python_Unix_Architectural Patterns_Data Cleansing_machine learning_Jupyter Notebook_data engineering_ETL Testing,https://www.naukri.com/job-listings-senior-data-science-manager-inspire-analytics-private-limited-chennai-5-to-7-years-040622000022
Senior Associate- Data Science,Catenon,remote,Not disclosed,"Bachelor / Master of Engineering, BSc / MSc Honors, PhD or equivalent 5 years experienc...",5-8 Yrs,_SAS_data science_Talent acquisition_Analytical_Client engagement_SPSS_Executive search_Management,https://www.naukri.com/job-listings-senior-associate-data-science-cataenon-remote-5-to-8-years-190722501144
"Senior Manager - Data Science, Pan India",The Smart Cube,remote,Not disclosed,"Relevant experience of 10+ years in advanced machine learning, advanced analytical mode...",10-20 Yrs,_Computer science_Telecom_Operations research_Team management_data domain_Project management_Analytical_Machine learning,https://www.naukri.com/job-listings-senior-manager-data-science-pan-india-smart-cube-india-private-limited-remote-10-to-20-years-150322501203
Consultant - Data Science/Machine Learning Algorithms - KPO,PYLON Management Consulting Private Limited,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,"Having minimum 4+ years of experience Strong programming experience in Python / R, atle...",4-7 Yrs,_Python_NLP_Machine learning_R_IT Skills,https://www.naukri.com/job-listings-consultant-data-science-machine-learning-algorithms-kpo-pylon-management-consulting-private-limited-pune-gurgaon-gurugram-bangalore-bengaluru-4-to-7-years-111122912962
Lead - Data Science - KPO,Huquo Consulting Pvt. Ltd,"Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,"BTech, MTech or MCA degree from a reputed university Good power point presentation skil...",5-10 Yrs,_Data Science_Communication Skills_R_Logistic Regression_Data Management_Statistical Modeling_Data Processing_Powerpoint,https://www.naukri.com/job-listings-lead-data-science-kpo-huquo-consulting-pvt-ltd-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-5-to-10-years-011122908287
Data Science Manager/Architect,TRH Consultancy Services,"Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR",Not disclosed,Minimum 5+ years of hands on experience using statistical computer languages (Python / ...,8-13 Yrs,_Data Science_machine learning_Python_R_data mining_statistical modeling_Neural Network_NLP,https://www.naukri.com/job-listings-data-science-manager-architect-trh-consultancy-services-kolkata-mumbai-nagpur-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-delhi-ncr-8-to-13-years-311022907694
Data Science Manager/Architect,TRH Consultancy Services,"Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi",Not disclosed,Minimum 5+ years of hands on experience using statistical computer languages (Python / ...,8-13 Yrs,_Python_data mining_R_machine learning_statistical modeling_Data Science_NLP_Data Scientist,https://www.naukri.com/job-listings-data-science-manager-architect-trh-consultancy-services-kolkata-mumbai-nagpur-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-delhi-8-to-13-years-311022907632
Data Science Manager / Architect,TRH Consultancy Services,"Noida, Kolkata, Mumbai, Nagpur, Pune, Chennai, Coimbatore, Delhi / NCR, Bangalore/Bengaluru",Not disclosed,Minimum 5+ years of hands on experience using statistical computer languages (Python / ...,7-12 Yrs,_Data Science_Presentation_Python_data mining_R_machine learning_statistical modeling_AZURE,https://www.naukri.com/job-listings-data-science-manager-architect-trh-consultancy-services-noida-kolkata-mumbai-nagpur-pune-chennai-coimbatore-delhi-ncr-bangalore-bengaluru-7-to-12-years-311022907602
