product,author,rating_count,rating,price,product_url
Everything Data Analytics-A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (All Things Data)  ,Elizabeth Clarke,28  ,4.3  ,14.49,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A043180434JG59ULMA54V&qualifier=1669446452&id=6257798347730016&widgetName=sp_atf&url=%2FEverything-Analytics-Beginners-Guide-Literacy%2Fdp%2F1777967139%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddata%2Bscience%26qid%3D1669446452%26sr%3D8-1-spons%26psc%3D1
Build a Career in Data Science  ,"Emily Robinson, Jacqueline Nolis",96  ,4.7  ,32.49,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0432761EYXSH2F8BW2F&qualifier=1669446452&id=6257798347730016&widgetName=sp_atf&url=%2FBuild-Career-Science-Jacqueline-Nolis%2Fdp%2F1617296244%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Ddata%2Bscience%26qid%3D1669446452%26sr%3D8-2-spons%26psc%3D1
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python  ,"Sebastian Raschka, Yuxi (Hayden) Liu",159  ,4.6  ,39.02,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06644962ZEDTH7LTE0PB&qualifier=1669446452&id=6257798347730016&widgetName=sp_atf&url=%2FMachine-Learning-PyTorch-Scikit-Learn-learning%2Fdp%2F1801819319%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Ddata%2Bscience%26qid%3D1669446452%26sr%3D8-3-spons%26psc%3D1
Advanced Algorithms and Data Structures  ,Marcello La Rocca,22  ,4.2  ,45.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02934673910CUBUV60D7&qualifier=1669446452&id=6257798347730016&widgetName=sp_atf&url=%2FAdvanced-Algorithms-Structures-Marcello-Rocca%2Fdp%2F1617295485%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Ddata%2Bscience%26qid%3D1669446452%26sr%3D8-4-spons%26psc%3D1
"Becoming a Data Head: How to Think, Speak and Understand Data Science, Statistics and Machine Learning  ","Alex J. Gutman, Jordan Goldmeier",204  ,4.6  ,24.49,https://www.amazon.com/Becoming-Data-Head-Understand-Statistics/dp/1119741742/ref=sr_1_5?keywords=data+science&qid=1669446452&sr=8-5
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street  ","Nick Singh, Kevin Huo",684  ,4.5  ,35.53,https://www.amazon.com/Ace-Data-Science-Interview-Questions/dp/0578973839/ref=sr_1_6?keywords=data+science&qid=1669446452&sr=8-6
Data Science for Business: What You Need to Know About Data Mining and Data-Analytic Thinking  ,"Foster Provost, Tom Fawcett",991  ,4.5  ,0.0,https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking/dp/B08VL5K5ZX/ref=sr_1_7?keywords=data+science&qid=1669446452&sr=8-7
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics  ",Thomas Nield,49  ,4.5  ,43.49,https://www.amazon.com/Essential-Math-Data-Science-Fundamental/dp/1098102932/ref=sr_1_8?keywords=data+science&qid=1669446452&sr=8-8
Data Science from Scratch: First Principles with Python  ,Joel Grus,607  ,4.4  ,47.94,https://www.amazon.com/Data-Science-Scratch-Principles-Python/dp/1492041130/ref=sr_1_9?keywords=data+science&qid=1669446452&sr=8-9
Data Science (The MIT Press Essential Knowledge series)  ,,399  ,4.5  ,9.69,https://www.amazon.com/Data-Science-Press-Essential-Knowledge/dp/0262535432/ref=sr_1_10?keywords=data+science&qid=1669446452&sr=8-10
