,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
47,"Senior Analyst, Data Science & Analytics",Transunion,Pune,"Bachelors (4 year) degree in statistics, applied mathematics, financial mathematics, en...",5-8 Yrs," IT Skills, Python, Machine Learning, Cloud, Project Management, Big Data, Tableau, Operations research",https://www.naukri.com/job-listings-senior-analyst-data-science-analytics-transunion-software-services-pvt-ltd-pune-5-to-8-years-071022500378
48,Configuration Owner - Data Science,Cognoticai Consulting,Hybrid,Demonstrable Expertise in AWS with at least one certification Proficiency with Databric...,3-7 Yrs," data science, terraform, Data Bricks, gitlab, aws cloudformation",https://www.naukri.com/job-listings-configuration-owner-data-science-cognoticai-consulting-pune-3-to-7-years-251122005555
49,Associate Solution Leader - Data Science,Brane Enterprises,Hybrid,Description: We are looking for an Associate Solution Leader Data Science to join our g...,5-10 Yrs," data scientist, NLP, Natural Language Processing, Computer Vision, Machine Learning, Deep Learning",https://www.naukri.com/job-listings-associate-solution-leader-data-science-brane-enterprises-hyderabad-secunderabad-5-to-10-years-291122012809
50,Hiring For Data Science Manager,Evoke Technologies,Hybrid,7+ years experience in AI / ML algorithm development workflow and data analysis in the ...,10-15 Yrs," deep learning, computer vision, AWS SageMaker, LSTMs, Azure, Keras, CNNs, model tuning",https://www.naukri.com/job-listings-hiring-for-data-science-manager-evoke-technologies-hyderabad-secunderabad-10-to-15-years-281122010447
51,Lead/Manager - Data Science,Brahma Consulting Group,Hyderabad,Our Data Science Manager should be able to work independently from gathering requiremen...,7-12 Yrs," Data analysis, data science, SAS, Consulting, Predictive modeling, Data mining, Forecasting, Operations",https://www.naukri.com/job-listings-lead-manager-data-science-brahma-consulting-group-hyderabad-secunderabad-7-to-12-years-251122501736
52,Lead Data Science,Pitney Bowes (PBI),Mumbai,Deliver analytics initiatives to address business problems with the ability to determin...,5-9 Yrs," IT Skills, Testing, Data Science, Machine Learning, Big Data, Supply chain, Data analysis, Analytical",https://www.naukri.com/job-listings-lead-data-science-pitney-bowes-india-pvt-ltd-mumbai-5-to-9-years-241122500814
53,CarbyneTech - Data Science Engineer - Machine/Deep Learning Models,CarbyneTech India,Hyderabad,Hands-on experience in implementing Deep learning models with textual data/ time series...,4-8 Yrs," Brand Management, Advertising, Marketing, Tensorflow, R, Big Data, Numpy, Python",https://www.naukri.com/job-listings-carbynetech-data-science-engineer-machine-deep-learning-models-carbynetech-india-hyderabad-secunderabad-4-to-8-years-291122908063
54,Data Science Professional,CliqHR Recruitment Services,Multiple,Experience of 3-8 years in Data Analytics and a mandatory 2-3 years in Retail / CPG Ana...,3-8 Yrs," Data Science, Python, communication, analytical, Azure, Ski, Pandas, HTML",https://www.naukri.com/job-listings-data-science-professional-cliqhr-recruitment-services-mumbai-hyderabad-secunderabad-pune-chennai-delhi-ncr-3-to-8-years-291122904892
55,Data Science Professional - Contract To Hire,SuccessR Hrtech Pvt Ltd,Temp. WFH,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{dep...",4-8 Yrs," Data Science, IT Skills, Testing, Machine Learning, data analysis, data mining, Nosql db, query languages",https://www.naukri.com/job-listings-data-science-professional-contract-to-hire-successr-hrtech-pvt-ltd-bangalore-bengaluru-4-to-8-years-211122901850
56,Data Science,Legato Healthcare,Multiple,Minimum of 3 years of experience working with large data sets or do large scale quantit...,8-12 Yrs," US Healthcare, Data Science, Big Data, Spark, Orschestration frame work, machine learning, Deep Learning",https://www.naukri.com/job-listings-data-science-legato-healthcare-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-8-to-12-years-241122004846
